DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2020-12-13T00:00:00Z,32,For,9,9,7535.528573
2020-12-22T00:00:00Z,33,For,18,18,457065.8913
2020-06-23T00:00:00Z,10,For,69,69,367401.075
2020-06-01T00:00:00Z,5,For,8,8,232473.99
2020-05-15T00:00:00Z,3,For,10,10,337966.66
2020-06-18T00:00:00Z,8,Against,4,4,15001.61093
2020-08-27T00:00:00Z,21,For,18,18,361680.8841
2021-02-12T00:00:00Z,38,For,2,2,100.463681
2020-07-11T00:00:00Z,16,Against,5,5,28002.77068
2020-06-22T00:00:00Z,10,For,3,3,0.669991
2020-07-03T00:00:00Z,12,For,5,5,25005.26494
2020-08-16T00:00:00Z,20,For,6,6,70.016671
2020-04-30T00:00:00Z,2,For,1,1,101000
2020-12-24T00:00:00Z,34,For,7,7,13029.61171
2021-02-14T00:00:00Z,38,Against,1,1,5000
2020-05-25T00:00:00Z,4,Against,1,1,24107.64
2020-05-24T00:00:00Z,4,For,4,4,230011
2020-11-10T00:00:00Z,29,For,23,23,258412.4456
2021-03-10T00:00:00Z,40,For,177,177,1032648.557
2020-07-01T00:00:00Z,12,For,24,24,108570.629
2020-07-24T00:00:00Z,18,For,28,28,111733.3519
2020-12-23T00:00:00Z,33,For,8,9,105269.0959
2020-07-10T00:00:00Z,15,For,23,23,472485.479
2020-06-29T00:00:00Z,11,For,35,35,566665.5845
2020-11-03T00:00:00Z,28,For,15,15,132550.501
2020-12-08T00:00:00Z,30,For,16,16,482536.8332
2020-07-12T00:00:00Z,16,For,7,7,35045.6202
2020-05-16T00:00:00Z,3,For,7,7,217078.92
2021-03-26T00:00:00Z,42,For,18,29,792733.2185
2020-07-06T00:00:00Z,14,Against,14,14,68308.98845
2020-06-08T00:00:00Z,6,For,11,11,327531.83
2020-07-21T00:00:00Z,17,For,21,21,431158.2524
2020-12-21T00:00:00Z,33,For,4,4,17417.20563
2020-04-27T00:00:00Z,2,For,6,6,284123.64
2020-12-07T00:00:00Z,31,For,3,3,31673.81437
2020-06-03T00:00:00Z,5,For,3,3,41868.65
2020-07-08T00:00:00Z,14,Against,5,5,136505.949
2020-04-28T00:00:00Z,2,For,7,7,70064.27
2021-03-04T00:00:00Z,39,For,8,11,32823.44201
2020-08-28T00:00:00Z,21,Against,4,4,50018.88381
2020-07-24T00:00:00Z,18,Against,2,2,0.564063
2020-08-18T00:00:00Z,20,For,13,13,698217.7669
2020-06-29T00:00:00Z,11,Against,2,2,0.765913
2020-07-09T00:00:00Z,16,Against,3,3,0.422287
2020-09-27T00:00:00Z,24,Against,2,2,10.671016
2020-12-14T00:00:00Z,32,Against,2,2,20000.37908
2021-02-13T00:00:00Z,38,Against,1,1,0.053175
2021-03-28T00:00:00Z,42,For,2,2,50000.07796
2020-10-01T00:00:00Z,25,Against,1,1,1.613579
2020-09-10T00:00:00Z,22,For,9,9,455878.2068
2021-03-25T00:00:00Z,42,For,22,22,539381.6981
2021-01-09T00:00:00Z,35,For,11,11,147526.6972
2021-03-17T00:00:00Z,41,For,3,5,50091.00821
2021-03-11T00:00:00Z,40,For,9,13,504048.2061
2020-07-19T00:00:00Z,17,For,31,31,113454.9984
2020-09-11T00:00:00Z,22,For,7,7,31.201022
2021-02-14T00:00:00Z,38,For,4,5,81128.20414
2020-07-08T00:00:00Z,15,For,13,13,120027.0179
2020-10-12T00:00:00Z,27,For,12,12,220127.6728
2020-07-02T00:00:00Z,12,Against,25,25,131586.5583
2020-09-09T00:00:00Z,22,For,24,24,334986.4548
2020-12-09T00:00:00Z,31,For,18,18,318490.5357
2020-12-23T00:00:00Z,34,For,8,9,105269.0959
2020-10-11T00:00:00Z,26,For,8,8,20001.94507
2021-02-04T00:00:00Z,36,For,4,5,76119.8906
2021-03-05T00:00:00Z,39,For,9,10,793424.9671
2021-03-16T00:00:00Z,41,For,16,21,197533.1848
2020-11-12T00:00:00Z,29,For,7,7,7666.934436
2020-07-04T00:00:00Z,12,Against,3,3,211095.5382
2020-05-23T00:00:00Z,4,For,3,3,34742.88
2020-05-14T00:00:00Z,3,For,4,4,171767.3
2020-12-14T00:00:00Z,32,For,5,5,27488.94703
2020-05-22T00:00:00Z,4,For,4,4,132474.99
2020-07-12T00:00:00Z,16,Against,5,5,330954.3548
2020-09-29T00:00:00Z,24,Against,1,1,5005.080192
2021-02-10T00:00:00Z,37,Against,1,1,5001.436849
2020-08-17T00:00:00Z,20,Against,1,1,1.97553
2021-03-26T00:00:00Z,42,Against,1,1,1
2020-10-10T00:00:00Z,26,Against,1,1,1.029589
2020-10-14T00:00:00Z,27,Against,1,1,1.029589
2020-07-07T00:00:00Z,14,For,11,11,50027.34071
2020-09-30T00:00:00Z,25,For,18,18,72526.6912
2020-07-07T00:00:00Z,14,Against,15,15,360041.559
2020-05-25T00:00:00Z,4,For,2,2,30000
2021-03-15T00:00:00Z,41,For,16,16,227265.6581
2020-06-19T00:00:00Z,9,For,29,29,472584.9121
2021-02-03T00:00:00Z,36,For,14,16,186787.2781
2020-09-08T00:00:00Z,22,For,5,5,15064.24547
2020-06-25T00:00:00Z,10,For,4,4,345067.7885
2021-02-09T00:00:00Z,37,For,6,6,225155.2825
2020-12-24T00:00:00Z,33,For,4,4,11.233208
2020-12-13T00:00:00Z,32,Against,15,15,542838.3985
2020-09-27T00:00:00Z,24,For,18,18,205658.208
2020-10-01T00:00:00Z,25,For,13,13,135086.3337
2021-01-09T00:00:00Z,35,Against,2,2,120.457659
2020-06-12T00:00:00Z,7,For,5,5,404725.02
2021-03-27T00:00:00Z,42,For,4,5,56563.86819
2021-03-05T00:00:00Z,39,Against,5,5,126412.2241
2020-07-23T00:00:00Z,18,For,19,19,319323.0609
2020-07-09T00:00:00Z,15,Against,4,4,6.07595
2020-04-28T00:00:00Z,1,For,4,4,42524.6
2020-04-27T00:00:00Z,1,For,11,11,313744.41
2020-04-29T00:00:00Z,1,Against,1,1,25000
2020-07-25T00:00:00Z,18,Against,1,1,0.078286
2020-06-21T00:00:00Z,9,Against,2,2,0.004326
2020-06-13T00:00:00Z,7,For,1,1,18080.73
2020-06-25T00:00:00Z,10,Against,1,1,28000
2020-08-29T00:00:00Z,21,Against,3,3,10005.63966
2021-01-10T00:00:00Z,35,Against,1,1,158.221755
2020-07-22T00:00:00Z,17,For,7,7,100099.8125
2020-12-08T00:00:00Z,31,For,27,27,130279.7896
2020-06-11T00:00:00Z,6,For,7,7,193520.83
2021-03-03T00:00:00Z,39,For,12,12,126110.9381
2020-06-19T00:00:00Z,9,Against,12,12,273530.1952
2020-08-15T00:00:00Z,19,For,11,11,65021.24371
2020-08-17T00:00:00Z,20,For,12,12,200046.4562
2020-08-13T00:00:00Z,19,For,27,27,471332.4344
2020-12-10T00:00:00Z,31,For,4,4,375782.2304
2020-06-11T00:00:00Z,7,For,22,22,693505.06
2020-09-18T00:00:00Z,23,For,19,19,238351.8876
