PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
8,True,64,64,1413016.673345
18,False,5,5,1.825852
15,True,84,84,997005.413416
34,True,37,38,592775.120319
3,True,21,21,726812.880000
6,True,26,26,850811.540000
20,True,36,36,898364.458368
5,True,18,18,553679.150000
23,True,38,38,427750.061507
9,False,20,20,311570.196670
39,False,12,12,411686.357930
34,False,1,1,4.070527
11,False,4,4,1.336940
38,True,15,17,259279.753185
10,True,98,98,1198438.471539
11,True,111,111,771804.523197
42,True,46,58,1438678.862813
16,False,20,20,523974.055928
15,False,9,9,9.587990
40,False,1,1,0.194306
27,False,1,1,1.029589
31,True,52,52,856226.370122
19,True,53,53,701578.102506
27,True,63,63,622697.045365
25,True,57,57,537376.470677
32,True,25,25,212952.205093
33,True,34,35,579763.426053
7,True,28,28,1116310.810000
37,True,25,32,1046375.043784
36,True,29,32,641899.731187
12,True,58,58,133613.887404
24,False,3,3,5015.751208
2,False,2,2,25001.000000
20,False,1,1,1.975530
40,True,193,199,1580817.491277
1,True,18,18,797981.280000
13,True,34,34,125332.223733
38,False,2,2,5000.053175
2,True,20,20,898262.350000
17,True,84,84,757201.936856
12,False,48,48,538486.083106
26,True,45,46,466606.245911
18,True,69,69,895108.895446
24,True,44,44,736937.088938
32,False,27,27,681290.374863
30,False,4,4,135.596783
4,True,13,13,427228.870000
31,False,1,1,14.616937
35,False,3,3,278.679414
28,True,37,37,503747.165039
14,True,85,85,353204.756031
29,True,50,50,487507.819767
39,True,29,33,952359.347175
22,False,3,3,15015.341614
1,False,6,6,85580.730000
17,False,2,2,1.536199
9,True,51,51,758651.150224
30,True,53,53,1186440.299901
36,False,3,3,12101.566470
21,True,44,44,1119629.391841
16,True,84,84,533998.606820
21,False,21,21,195969.018138
4,False,1,1,24107.640000
8,False,5,5,15001.610928
23,False,1,1,0.000000
42,False,1,1,1.000000
14,False,39,39,669872.816461
10,False,16,16,189177.119825
41,True,44,51,474890.150980
13,False,6,6,105049.973379
22,True,45,45,805960.108061
35,True,36,37,631909.824298
33,False,4,4,0.392458
26,False,1,1,1.029589
37,False,1,1,5001.436849
25,False,1,1,1.613579
