PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
id8,For,64,64,1413016.673
id18,AGAINST,5,5,1.825852
id15,For,84,84,997005.4134
id34,For,37,38,592775.1203
id3,For,21,21,726812.88
id6,For,26,26,850811.54
id20,For,36,36,898364.4584
id5,For,18,18,553679.15
id23,For,38,38,427750.0615
id9,AGAINST,20,20,311570.1967
id39,AGAINST,12,12,411686.3579
id34,AGAINST,1,1,4.070527
id11,AGAINST,4,4,1.33694
id38,For,15,17,259279.7532
id10,For,98,98,1198438.472
id11,For,111,111,771804.5232
id42,For,46,58,1438678.863
id16,AGAINST,20,20,523974.0559
id15,AGAINST,9,9,9.58799
id40,AGAINST,1,1,0.194306
id27,AGAINST,1,1,1.029589
id31,For,52,52,856226.3701
id19,For,53,53,701578.1025
id27,For,63,63,622697.0454
id25,For,57,57,537376.4707
id32,For,25,25,212952.2051
id33,For,34,35,579763.4261
id7,For,28,28,1116310.81
id37,For,25,32,1046375.044
id36,For,29,32,641899.7312
id12,For,58,58,133613.8874
id24,AGAINST,3,3,5015.751208
id2,AGAINST,2,2,25001
id20,AGAINST,1,1,1.97553
id40,For,193,199,1580817.491
id1,For,18,18,797981.28
id13,For,34,34,125332.2237
id38,AGAINST,2,2,5000.053175
id2,For,20,20,898262.35
id17,For,84,84,757201.9369
id12,AGAINST,48,48,538486.0831
id26,For,45,46,466606.2459
id18,For,69,69,895108.8954
id24,For,44,44,736937.0889
id32,AGAINST,27,27,681290.3749
id30,AGAINST,4,4,135.596783
id4,For,13,13,427228.87
id31,AGAINST,1,1,14.616937
id35,AGAINST,3,3,278.679414
id28,For,37,37,503747.165
id14,For,85,85,353204.756
id29,For,50,50,487507.8198
id39,For,29,33,952359.3472
id22,AGAINST,3,3,15015.34161
id1,AGAINST,6,6,85580.73
id17,AGAINST,2,2,1.536199
id9,For,51,51,758651.1502
id30,For,53,53,1186440.3
id36,AGAINST,3,3,12101.56647
id21,For,44,44,1119629.392
id16,For,84,84,533998.6068
id21,AGAINST,21,21,195969.0181
id4,AGAINST,1,1,24107.64
id8,AGAINST,5,5,15001.61093
id23,AGAINST,1,1,0
id42,AGAINST,1,1,1
id14,AGAINST,39,39,669872.8165
id10,AGAINST,16,16,189177.1198
id41,For,44,51,474890.151
id13,AGAINST,6,6,105049.9734
id22,For,45,45,805960.1081
id35,For,36,37,631909.8243
id33,AGAINST,4,4,0.392458
id26,AGAINST,1,1,1.029589
id37,AGAINST,1,1,5001.436849
id25,AGAINST,1,1,1.613579
