,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
0,2020-06-22T00:00:00Z,id10,For,98,98,1198438.472
1,2020-06-29T00:00:00Z,id13,For,34,34,125332.2237
2,2020-09-07T00:00:00Z,id22,Against,3,3,15015.34161
3,2020-06-08T00:00:00Z,id7,For,28,28,1116310.81
4,2020-07-06T00:00:00Z,id16,Against,20,20,523974.0559
5,2020-06-01T00:00:00Z,id5,For,18,18,553679.15
6,2020-09-21T00:00:00Z,id24,Against,2,2,10.671016
7,2020-09-14T00:00:00Z,id23,For,38,38,427750.0615
8,2020-09-07T00:00:00Z,id22,For,45,45,805960.1081
9,2020-06-29T00:00:00Z,id13,Against,6,6,105049.9734
10,2020-05-25T00:00:00Z,id4,Against,1,1,24107.64
11,2020-12-21T00:00:00Z,id34,Against,1,1,4.070527
12,2020-12-07T00:00:00Z,id31,For,52,52,856226.3701
13,2020-07-20T00:00:00Z,id18,For,69,69,895108.8954
14,2021-02-08T00:00:00Z,id37,For,25,32,1046375.044
15,2020-07-06T00:00:00Z,id14,Against,34,34,564856.4965
16,2020-06-08T00:00:00Z,id6,For,26,26,850811.54
17,2020-12-21T00:00:00Z,id33,For,34,35,579763.4261
18,2020-05-11T00:00:00Z,id3,For,21,21,726812.88
19,2021-03-08T00:00:00Z,id41,For,9,9,0.299836
20,2020-08-24T00:00:00Z,id21,Against,21,21,195969.0181
21,2021-03-01T00:00:00Z,id39,For,29,33,952359.3472
22,2020-07-06T00:00:00Z,id15,Against,9,9,9.58799
23,2020-12-14T00:00:00Z,id32,Against,2,2,20000.37908
24,2020-06-29T00:00:00Z,id11,For,48,48,666817.5911
25,2020-04-27T00:00:00Z,id2,For,20,20,898262.35
26,2021-02-01T00:00:00Z,id36,For,29,32,641899.7312
27,2020-09-28T00:00:00Z,id25,Against,1,1,1.613579
28,2020-08-10T00:00:00Z,id20,For,6,6,70.016671
29,2020-06-29T00:00:00Z,id11,Against,2,2,0.765913
30,2020-06-15T00:00:00Z,id9,For,51,51,758651.1502
31,2020-10-12T00:00:00Z,id27,For,63,63,622697.0454
32,2021-03-22T00:00:00Z,id42,For,46,58,1438678.863
33,2020-10-05T00:00:00Z,id26,For,45,46,466606.2459
34,2020-05-18T00:00:00Z,id4,For,11,11,397228.87
35,2020-06-29T00:00:00Z,id14,Against,5,5,105016.32
36,2020-08-24T00:00:00Z,id21,For,44,44,1119629.392
37,2020-06-15T00:00:00Z,id9,Against,20,20,311570.1967
38,2020-07-13T00:00:00Z,id17,For,31,31,113454.9984
39,2020-12-14T00:00:00Z,id32,For,5,5,27488.94703
40,2020-11-30T00:00:00Z,id30,Against,4,4,135.596783
41,2020-10-05T00:00:00Z,id26,Against,1,1,1.029589
42,2021-02-08T00:00:00Z,id37,Against,1,1,5001.436849
43,2020-08-17T00:00:00Z,id20,Against,1,1,1.97553
44,2021-03-08T00:00:00Z,id40,Against,1,1,0.194306
45,2021-03-08T00:00:00Z,id40,For,193,199,1580817.491
46,2020-07-06T00:00:00Z,id15,For,84,84,997005.4134
47,2021-03-15T00:00:00Z,id41,For,35,42,474889.8511
48,2020-04-27T00:00:00Z,id1,For,18,18,797981.28
49,2020-05-25T00:00:00Z,id4,For,2,2,30000.0
50,2021-01-04T00:00:00Z,id35,For,27,28,397954.8784
51,2020-11-30T00:00:00Z,id30,For,18,18,182371.5225
52,2020-06-15T00:00:00Z,id8,Against,5,5,15001.61093
53,2020-10-12T00:00:00Z,id27,Against,1,1,1.029589
54,2020-08-17T00:00:00Z,id20,For,30,30,898294.4417
55,2020-12-07T00:00:00Z,id32,Against,25,25,661289.9958
56,2020-07-20T00:00:00Z,id18,Against,5,5,1.825852
57,2020-06-29T00:00:00Z,id14,For,18,18,102397.0512
58,2020-04-27T00:00:00Z,id2,Against,2,2,25001.0
59,2021-02-08T00:00:00Z,id38,Against,2,2,5000.053175
60,2020-12-07T00:00:00Z,id30,For,35,35,1004068.777
61,2020-09-28T00:00:00Z,id25,For,57,57,537376.4707
62,2020-11-09T00:00:00Z,id29,For,50,50,487507.8198
63,2020-11-02T00:00:00Z,id28,For,37,37,503747.165
64,2020-07-20T00:00:00Z,id17,For,53,53,643746.9385
65,2021-01-04T00:00:00Z,id35,Against,3,3,278.679414
66,2020-09-28T00:00:00Z,id24,Against,1,1,5005.080192
67,2020-04-27T00:00:00Z,id1,Against,6,6,85580.73
68,2020-07-06T00:00:00Z,id16,For,84,84,533998.6068
69,2020-07-06T00:00:00Z,id14,For,67,67,250807.7048
70,2020-06-22T00:00:00Z,id11,For,63,63,104986.9321
71,2020-06-22T00:00:00Z,id10,Against,16,16,189177.1198
72,2020-09-28T00:00:00Z,id24,For,26,26,531278.8809
73,2020-06-15T00:00:00Z,id8,For,64,64,1413016.673
74,2020-08-10T00:00:00Z,id19,For,53,53,701578.1025
75,2020-12-21T00:00:00Z,id33,Against,4,4,0.392458
76,2020-07-13T00:00:00Z,id17,Against,2,2,1.536199
77,2020-12-07T00:00:00Z,id31,Against,1,1,14.616937
78,2020-09-14T00:00:00Z,id23,Against,1,1,0.0
79,2020-06-29T00:00:00Z,id12,For,58,58,133613.8874
80,2020-09-21T00:00:00Z,id24,For,18,18,205658.208
81,2021-02-08T00:00:00Z,id38,For,15,17,259279.7532
82,2020-12-07T00:00:00Z,id32,For,20,20,185463.2581
83,2021-02-01T00:00:00Z,id36,Against,3,3,12101.56647
84,2020-12-21T00:00:00Z,id34,For,37,38,592775.1203
85,2021-03-01T00:00:00Z,id39,Against,12,12,411686.3579
86,2020-06-29T00:00:00Z,id12,Against,48,48,538486.0831
87,2021-01-11T00:00:00Z,id35,For,9,9,233954.9459
88,2020-06-22T00:00:00Z,id11,Against,2,2,0.571027
89,2021-03-22T00:00:00Z,id42,Against,1,1,1.0
