,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
0,2023-05-13T00:00:00Z,id287,Against,2,2,17
1,2023-05-14T00:00:00Z,id287,For,2,2,4
2,2023-05-14T00:00:00Z,id286,For,3,3,6
3,2023-05-13T00:00:00Z,id286,Against,1,1,16
4,2023-05-13T00:00:00Z,id286,For,4,4,6
5,2023-05-13T00:00:00Z,id285,Against,2,2,18
6,2023-05-14T00:00:00Z,id285,Against,1,1,1
7,2023-05-12T00:00:00Z,id285,Against,2,2,6
8,2023-05-12T00:00:00Z,id285,For,3,3,5
9,2023-05-12T00:00:00Z,id284,Abstain,1,1,2
10,2023-05-09T00:00:00Z,id284,For,9,9,93
11,2023-05-08T00:00:00Z,id284,For,1,1,1
12,2023-05-11T00:00:00Z,id284,Abstain,1,1,7
13,2023-05-11T00:00:00Z,id284,For,4,4,8
14,2023-05-10T00:00:00Z,id284,For,7,7,66
15,2023-05-11T00:00:00Z,id284,Against,1,1,18
16,2023-05-12T00:00:00Z,id284,For,10,10,17
17,2023-05-09T00:00:00Z,id284,Against,3,3,19
18,2023-05-08T00:00:00Z,id284,Against,3,3,26
19,2023-05-09T00:00:00Z,id283,For,2,2,1
20,2023-05-11T00:00:00Z,id283,Against,6,6,35
21,2023-05-12T00:00:00Z,id283,Abstain,1,1,2
22,2023-05-10T00:00:00Z,id283,Abstain,1,1,2
23,2023-05-12T00:00:00Z,id283,Against,6,6,8
24,2023-05-08T00:00:00Z,id283,Against,6,6,33
25,2023-05-09T00:00:00Z,id283,Against,6,6,33
26,2023-05-07T00:00:00Z,id283,Against,2,2,16
27,2023-05-10T00:00:00Z,id283,Against,5,5,64
28,2023-05-06T00:00:00Z,id282,Against,1,1,16
29,2023-05-09T00:00:00Z,id282,Against,6,6,40
30,2023-05-08T00:00:00Z,id282,Against,8,8,34
31,2023-05-10T00:00:00Z,id282,For,7,7,52
32,2023-05-08T00:00:00Z,id282,For,5,5,24
33,2023-05-11T00:00:00Z,id282,For,3,3,4
34,2023-05-07T00:00:00Z,id282,Against,2,2,16
35,2023-05-10T00:00:00Z,id282,Against,8,8,57
36,2023-05-09T00:00:00Z,id282,For,10,10,81
37,2023-05-06T00:00:00Z,id282,For,3,3,21
38,2023-05-10T00:00:00Z,id282,Abstain,2,2,4
39,2023-05-06T00:00:00Z,id281,Against,3,3,35
40,2023-05-08T00:00:00Z,id281,For,1,1,2
41,2023-05-08T00:00:00Z,id281,Against,8,8,50
42,2023-05-07T00:00:00Z,id281,Against,3,3,18
43,2023-05-05T00:00:00Z,id281,Against,2,2,2
44,2023-05-04T00:00:00Z,id280,For,10,10,49
45,2023-05-08T00:00:00Z,id280,For,3,3,6
46,2023-05-08T00:00:00Z,id280,Against,1,1,1
47,2023-05-06T00:00:00Z,id280,Abstain,1,1,6
48,2023-05-07T00:00:00Z,id280,Abstain,1,1,3
49,2023-05-06T00:00:00Z,id280,For,3,3,36
50,2023-05-07T00:00:00Z,id280,For,3,3,4
51,2023-05-03T00:00:00Z,id280,Against,4,4,40
52,2023-05-03T00:00:00Z,id280,For,2,2,17
53,2023-05-07T00:00:00Z,id280,Against,1,1,1
54,2023-05-08T00:00:00Z,id280,Abstain,2,2,4
55,2023-05-06T00:00:00Z,id279,Against,2,2,19
56,2023-05-07T00:00:00Z,id279,Against,4,4,29
57,2023-05-05T00:00:00Z,id279,For,4,4,23
58,2023-05-03T00:00:00Z,id279,For,10,10,41
59,2023-05-07T00:00:00Z,id279,For,8,8,66
60,2023-05-08T00:00:00Z,id279,For,2,2,2
61,2023-05-04T00:00:00Z,id279,For,5,5,10
62,2023-05-06T00:00:00Z,id279,Abstain,1,1,6
63,2023-05-05T00:00:00Z,id279,Against,2,2,19
64,2023-05-04T00:00:00Z,id279,Against,4,4,39
65,2023-05-03T00:00:00Z,id279,Against,3,3,18
66,2023-05-06T00:00:00Z,id279,For,1,1,1
67,2023-05-07T00:00:00Z,id278,Abstain,1,1,2
68,2023-05-06T00:00:00Z,id278,For,4,4,9
69,2023-05-05T00:00:00Z,id278,Abstain,1,1,2
70,2023-05-04T00:00:00Z,id278,Abstain,1,1,1
71,2023-05-03T00:00:00Z,id278,For,6,6,95
72,2023-05-02T00:00:00Z,id278,For,6,6,11
73,2023-05-04T00:00:00Z,id278,Against,5,5,40
74,2023-05-02T00:00:00Z,id278,Against,1,1,1
75,2023-05-06T00:00:00Z,id278,Against,1,1,18
76,2023-05-07T00:00:00Z,id278,For,4,4,8
77,2023-05-05T00:00:00Z,id278,Against,2,2,42
78,2023-05-04T00:00:00Z,id278,For,5,5,8
79,2023-05-05T00:00:00Z,id278,For,3,3,22
80,2023-05-03T00:00:00Z,id278,Against,1,1,16
81,2023-05-07T00:00:00Z,id278,Against,3,3,4
82,2023-05-03T00:00:00Z,id277,Against,5,5,36
83,2023-05-04T00:00:00Z,id277,Against,3,3,37
84,2023-05-05T00:00:00Z,id277,Against,4,4,30
85,2023-05-03T00:00:00Z,id277,For,2,2,75
86,2023-05-04T00:00:00Z,id277,For,4,4,8
87,2023-05-02T00:00:00Z,id277,For,7,7,12
88,2023-05-06T00:00:00Z,id277,Against,1,1,18
89,2023-05-05T00:00:00Z,id277,For,6,6,47
90,2023-05-06T00:00:00Z,id277,For,8,8,12
91,2023-05-03T00:00:00Z,id276,For,3,3,70
92,2023-05-05T00:00:00Z,id276,Against,7,7,15
93,2023-05-04T00:00:00Z,id276,For,6,6,11
94,2023-05-04T00:00:00Z,id276,Against,4,4,38
95,2023-05-06T00:00:00Z,id276,Against,2,2,2
96,2023-05-03T00:00:00Z,id276,Against,7,7,60
97,2023-05-01T00:00:00Z,id276,For,1,1,1
98,2023-05-01T00:00:00Z,id276,Against,6,6,33
99,2023-05-05T00:00:00Z,id276,For,3,3,5
