,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
0,8/16/2021,id1,For,3,3,2
1,8/23/2021,id2,For,8,8,9
2,8/23/2021,id1,For,3,3,5
3,8/30/2021,id3,For,6,6,7
4,8/30/2021,id2,For,1,1,3
5,9/6/2021,id4,For,9,9,14
6,9/6/2021,id3,For,3,3,7
7,9/13/2021,id5,For,9,9,17
8,9/20/2021,id7,For,5,5,9
9,9/20/2021,id6,For,10,10,16
10,9/27/2021,id9,For,9,9,13
11,9/27/2021,id8,For,6,6,20
12,10/4/2021,id10,For,2,2,7
13,10/4/2021,id9,For,5,5,10
14,10/11/2021,id11,For,12,12,20
15,10/11/2021,id10,For,4,4,14
16,10/18/2021,id13,For,11,11,20
17,10/18/2021,id12,For,10,10,20
18,10/25/2021,id14,For,12,12,24
19,11/1/2021,id15,For,1,1,7
20,11/1/2021,id14,For,1,1,1
21,11/8/2021,id16,For,14,14,27
22,11/8/2021,id16,Against,2,2,8
23,11/8/2021,id15,For,10,10,22
24,11/15/2021,id18,Against,1,1,6
25,11/15/2021,id18,For,19,19,34
26,11/15/2021,id18,Abstain,3,3,11
27,11/15/2021,id17,For,19,19,46
28,11/22/2021,id22,For,5,5,9
29,11/22/2021,id22,Abstain,2,2,10
30,11/22/2021,id22,Against,4,4,13
31,11/22/2021,id21,For,10,10,19
32,11/22/2021,id21,Against,5,5,17
33,11/22/2021,id20,For,13,13,47
34,11/22/2021,id19,For,7,7,24
35,11/29/2021,id26,For,5,5,0
36,11/29/2021,id25,For,4,4,13
37,11/29/2021,id24,Against,4,4,14
38,11/29/2021,id23,For,9,9,39
39,11/29/2021,id22,Against,1,1,1
40,11/29/2021,id22,For,8,8,21
41,11/29/2021,id21,For,2,2,2
42,11/29/2021,id21,Against,2,2,2
43,11/29/2021,id21,Abstain,1,1,11
44,12/6/2021,id27,For,12,12,34
45,12/6/2021,id26,For,10,10,32
46,12/6/2021,id25,For,4,4,15
47,12/6/2021,id24,Against,3,3,14
48,12/6/2021,id24,For,2,2,8
49,12/13/2021,id28,For,10,10,35
50,12/13/2021,id28,Against,1,1,2
51,12/27/2021,id30,For,9,9,32
52,12/27/2021,id30,Against,2,2,2
53,12/27/2021,id29,For,19,19,56
54,1/3/2022,id32,For,5,5,36
55,1/3/2022,id31,For,6,6,33
56,1/10/2022,id34,For,12,12,51
57,1/10/2022,id33,Against,1,1,1
58,1/10/2022,id33,For,24,24,75
59,1/17/2022,id35,For,8,8,31
60,1/24/2022,id36,For,8,8,45
61,1/24/2022,id36,Against,1,1,1
62,1/24/2022,id35,For,3,3,16
63,1/31/2022,id37,For,10,10,19
64,1/31/2022,id37,Against,1,1,14
65,2/7/2022,id38,For,2,2,5
66,2/7/2022,id37,For,7,7,31
67,2/14/2022,id39,For,11,11,56
68,2/14/2022,id38,For,16,16,67
69,2/28/2022,id42,For,13,13,24
70,2/28/2022,id41,For,11,11,42
71,2/28/2022,id40,For,18,18,70
72,3/7/2022,id43,For,11,11,38
73,3/7/2022,id42,For,10,10,37
74,3/14/2022,id44,Abstain,1,1,0
75,3/14/2022,id44,For,4,4,23
76,3/14/2022,id43,For,9,9,29
77,3/21/2022,id46,For,10,10,55
78,3/21/2022,id45,For,12,12,61
79,3/21/2022,id44,Abstain,1,1,1
80,3/21/2022,id44,For,13,13,55
81,3/21/2022,id44,Against,1,1,1
82,3/28/2022,id48,For,3,3,6
83,3/28/2022,id47,Abstain,1,1,1
84,3/28/2022,id47,For,4,4,9
85,3/28/2022,id46,For,6,6,10
86,3/28/2022,id46,Abstain,2,2,3
87,4/4/2022,id52,For,1,1,6
88,4/4/2022,id51,Abstain,1,1,1
89,4/4/2022,id51,For,3,3,9
90,4/4/2022,id50,Against,3,3,12
91,4/4/2022,id49,Against,8,8,9
92,4/4/2022,id49,Abstain,4,4,28
93,4/4/2022,id49,For,6,6,33
94,4/4/2022,id48,Against,1,1,5
95,4/4/2022,id48,For,13,13,60
96,4/4/2022,id47,For,11,11,32
97,4/4/2022,id47,Abstain,1,1,1
98,4/11/2022,id59,Abstain,1,1,1
99,4/11/2022,id59,For,1,1,3
100,4/11/2022,id59,Against,6,6,26
101,4/11/2022,id58,For,5,5,15
102,4/11/2022,id58,Abstain,1,1,1
103,4/11/2022,id58,Against,1,1,11
104,4/11/2022,id57,Abstain,3,3,13
105,4/11/2022,id57,For,3,3,9
106,4/11/2022,id56,For,10,10,37
107,4/11/2022,id56,Against,1,1,1
108,4/11/2022,id56,Abstain,2,2,2
109,4/11/2022,id55,For,1,1,1
110,4/11/2022,id55,Against,11,11,41
111,4/11/2022,id55,Abstain,2,2,2
112,4/11/2022,id54,For,12,12,41
113,4/11/2022,id54,Abstain,3,3,4
114,4/11/2022,id53,For,20,20,75
115,4/11/2022,id53,Abstain,2,2,1
116,4/11/2022,id52,Abstain,4,4,27
117,4/11/2022,id52,For,13,13,36
118,4/11/2022,id52,Against,3,3,9
119,4/11/2022,id51,For,20,20,54
120,4/11/2022,id51,Abstain,1,1,1
121,4/18/2022,id64,For,2,2,2
122,4/18/2022,id63,For,2,2,2
123,4/18/2022,id62,For,20,20,71
124,4/18/2022,id61,For,26,26,92
125,4/18/2022,id60,Abstain,3,3,14
126,4/18/2022,id60,For,12,12,51
127,4/18/2022,id59,Against,3,3,36
128,4/18/2022,id58,For,6,6,45
129,4/18/2022,id57,Against,2,2,8
130,4/18/2022,id57,For,5,5,39
131,4/18/2022,id57,Abstain,3,3,3
132,4/18/2022,id56,For,2,2,2
133,4/25/2022,id70,For,15,15,41
134,4/25/2022,id70,Against,1,1,1
135,4/25/2022,id70,Abstain,1,1,1
136,4/25/2022,id69,Abstain,2,2,2
137,4/25/2022,id69,For,13,13,59
138,4/25/2022,id68,Abstain,1,1,1
139,4/25/2022,id68,For,16,16,67
140,4/25/2022,id67,Against,1,1,1
141,4/25/2022,id67,For,23,23,85
142,4/25/2022,id65,For,17,17,73
143,4/25/2022,id65,Against,2,2,2
144,4/25/2022,id65,Abstain,1,1,1
145,4/25/2022,id64,For,16,16,71
146,4/25/2022,id64,Against,1,1,1
147,4/25/2022,id63,Abstain,1,1,1
148,4/25/2022,id63,Against,1,1,1
149,4/25/2022,id63,For,13,13,66
150,5/2/2022,id72,Against,2,2,8
151,5/2/2022,id72,For,5,5,9
152,5/2/2022,id72,Abstain,2,2,33
153,5/2/2022,id71,For,10,10,51
154,5/9/2022,id75,For,16,16,66
155,5/9/2022,id75,Abstain,2,2,2
156,5/9/2022,id74,Abstain,3,3,3
157,5/9/2022,id74,For,3,3,3
158,5/9/2022,id74,Against,12,12,58
159,5/9/2022,id73,For,25,25,114
160,5/9/2022,id72,Against,2,2,2
161,5/9/2022,id72,For,7,7,22
162,5/9/2022,id72,Abstain,2,2,28
163,5/9/2022,id71,For,3,3,3
164,5/16/2022,id83,For,7,7,9
165,5/16/2022,id82,For,13,13,43
166,5/16/2022,id81,Abstain,1,1,1
167,5/16/2022,id81,For,3,3,51
168,5/16/2022,id81,Against,11,11,48
169,5/16/2022,id78,For,3,3,5
170,5/16/2022,id78,Against,4,4,45
171,5/16/2022,id78,Abstain,2,2,30
172,5/16/2022,id77,For,15,15,91
173,5/16/2022,id77,Abstain,1,1,1
174,5/16/2022,id75,For,10,10,54
175,5/16/2022,id75,Against,1,1,1
176,5/23/2022,id85,For,12,12,59
177,5/23/2022,id84,For,12,12,58
178,5/23/2022,id84,Against,2,2,2
179,5/23/2022,id83,For,19,19,118
180,5/23/2022,id83,Abstain,1,1,2
181,5/23/2022,id82,Against,5,5,22
182,5/23/2022,id82,Abstain,1,1,1
183,5/23/2022,id82,For,11,11,72
184,5/23/2022,id81,Against,11,11,35
