DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2023-05-13T00:00:00Z,287,Against,2,2,17
2023-05-14T00:00:00Z,287,For,2,2,4
2023-05-14T00:00:00Z,286,For,3,3,6
2023-05-13T00:00:00Z,286,Against,1,1,16
2023-05-13T00:00:00Z,286,For,4,4,6
2023-05-13T00:00:00Z,285,Against,2,2,18
2023-05-14T00:00:00Z,285,Against,1,1,1
2023-05-12T00:00:00Z,285,Against,2,2,6
2023-05-12T00:00:00Z,285,For,3,3,5
2023-05-12T00:00:00Z,284,Abstain,1,1,2
2023-05-09T00:00:00Z,284,For,9,9,93
2023-05-08T00:00:00Z,284,For,1,1,1
2023-05-11T00:00:00Z,284,Abstain,1,1,7
2023-05-11T00:00:00Z,284,For,4,4,8
2023-05-10T00:00:00Z,284,For,7,7,66
2023-05-11T00:00:00Z,284,Against,1,1,18
2023-05-12T00:00:00Z,284,For,10,10,17
2023-05-09T00:00:00Z,284,Against,3,3,19
2023-05-08T00:00:00Z,284,Against,3,3,26
2023-05-09T00:00:00Z,283,For,2,2,1
2023-05-11T00:00:00Z,283,Against,6,6,35
2023-05-12T00:00:00Z,283,Abstain,1,1,2
2023-05-10T00:00:00Z,283,Abstain,1,1,2
2023-05-12T00:00:00Z,283,Against,6,6,8
2023-05-08T00:00:00Z,283,Against,6,6,33
2023-05-09T00:00:00Z,283,Against,6,6,33
2023-05-07T00:00:00Z,283,Against,2,2,16
2023-05-10T00:00:00Z,283,Against,5,5,64
2023-05-06T00:00:00Z,282,Against,1,1,16
2023-05-09T00:00:00Z,282,Against,6,6,40
2023-05-08T00:00:00Z,282,Against,8,8,34
2023-05-10T00:00:00Z,282,For,7,7,52
2023-05-08T00:00:00Z,282,For,5,5,24
2023-05-11T00:00:00Z,282,For,3,3,4
2023-05-07T00:00:00Z,282,Against,2,2,16
2023-05-10T00:00:00Z,282,Against,8,8,57
2023-05-09T00:00:00Z,282,For,10,10,81
2023-05-06T00:00:00Z,282,For,3,3,21
2023-05-10T00:00:00Z,282,Abstain,2,2,4
2023-05-06T00:00:00Z,281,Against,3,3,35
2023-05-08T00:00:00Z,281,For,1,1,2
2023-05-08T00:00:00Z,281,Against,8,8,50
2023-05-07T00:00:00Z,281,Against,3,3,18
2023-05-05T00:00:00Z,281,Against,2,2,2
2023-05-04T00:00:00Z,280,For,10,10,49
2023-05-08T00:00:00Z,280,For,3,3,6
2023-05-08T00:00:00Z,280,Against,1,1,1
2023-05-06T00:00:00Z,280,Abstain,1,1,6
2023-05-07T00:00:00Z,280,Abstain,1,1,3
2023-05-06T00:00:00Z,280,For,3,3,36
2023-05-07T00:00:00Z,280,For,3,3,4
2023-05-03T00:00:00Z,280,Against,4,4,40
2023-05-03T00:00:00Z,280,For,2,2,17
2023-05-07T00:00:00Z,280,Against,1,1,1
2023-05-08T00:00:00Z,280,Abstain,2,2,4
2023-05-06T00:00:00Z,279,Against,2,2,19
2023-05-07T00:00:00Z,279,Against,4,4,29
2023-05-05T00:00:00Z,279,For,4,4,23
2023-05-03T00:00:00Z,279,For,10,10,41
2023-05-07T00:00:00Z,279,For,8,8,66
2023-05-08T00:00:00Z,279,For,2,2,2
2023-05-04T00:00:00Z,279,For,5,5,10
2023-05-06T00:00:00Z,279,Abstain,1,1,6
2023-05-05T00:00:00Z,279,Against,2,2,19
2023-05-04T00:00:00Z,279,Against,4,4,39
2023-05-03T00:00:00Z,279,Against,3,3,18
2023-05-06T00:00:00Z,279,For,1,1,1
2023-05-07T00:00:00Z,278,Abstain,1,1,2
2023-05-06T00:00:00Z,278,For,4,4,9
2023-05-05T00:00:00Z,278,Abstain,1,1,2
2023-05-04T00:00:00Z,278,Abstain,1,1,1
2023-05-03T00:00:00Z,278,For,6,6,95
2023-05-02T00:00:00Z,278,For,6,6,11
2023-05-04T00:00:00Z,278,Against,5,5,40
2023-05-02T00:00:00Z,278,Against,1,1,1
2023-05-06T00:00:00Z,278,Against,1,1,18
2023-05-07T00:00:00Z,278,For,4,4,8
2023-05-05T00:00:00Z,278,Against,2,2,42
2023-05-04T00:00:00Z,278,For,5,5,8
2023-05-05T00:00:00Z,278,For,3,3,22
2023-05-03T00:00:00Z,278,Against,1,1,16
2023-05-07T00:00:00Z,278,Against,3,3,4
2023-05-03T00:00:00Z,277,Against,5,5,36
2023-05-04T00:00:00Z,277,Against,3,3,37
2023-05-05T00:00:00Z,277,Against,4,4,30
2023-05-03T00:00:00Z,277,For,2,2,75
2023-05-04T00:00:00Z,277,For,4,4,8
2023-05-02T00:00:00Z,277,For,7,7,12
2023-05-06T00:00:00Z,277,Against,1,1,18
2023-05-05T00:00:00Z,277,For,6,6,47
2023-05-06T00:00:00Z,277,For,8,8,12
2023-05-03T00:00:00Z,276,For,3,3,70
2023-05-05T00:00:00Z,276,Against,7,7,15
2023-05-04T00:00:00Z,276,For,6,6,11
2023-05-04T00:00:00Z,276,Against,4,4,38
2023-05-06T00:00:00Z,276,Against,2,2,2
2023-05-03T00:00:00Z,276,Against,7,7,60
2023-05-01T00:00:00Z,276,For,1,1,1
2023-05-01T00:00:00Z,276,Against,6,6,33
2023-05-05T00:00:00Z,276,For,3,3,5
2023-05-02T00:00:00Z,276,Against,2,2,3
2023-05-02T00:00:00Z,276,For,1,1,2
2023-05-05T00:00:00Z,274,For,3,3,4
2023-05-04T00:00:00Z,274,Abstain,1,1,7
2023-05-04T00:00:00Z,274,For,11,11,40
2023-05-01T00:00:00Z,274,Against,2,2,8
2023-05-01T00:00:00Z,274,For,8,8,60
2023-05-04T00:00:00Z,274,Against,2,2,4
2023-05-03T00:00:00Z,274,Against,6,6,44
2023-05-02T00:00:00Z,274,Against,2,2,3
2023-05-03T00:00:00Z,274,For,6,6,26
2023-05-02T00:00:00Z,274,For,3,3,27
2023-04-30T00:00:00Z,274,Against,4,4,59
2023-05-03T00:00:00Z,273,For,1,1,2
2023-05-03T00:00:00Z,273,Against,1,1,1
2023-05-01T00:00:00Z,273,Against,10,10,102
2023-05-02T00:00:00Z,273,For,2,2,4
2023-04-30T00:00:00Z,273,Against,2,2,3
2023-05-02T00:00:00Z,273,Against,3,3,27
2023-05-03T00:00:00Z,272,For,7,7,28
2023-05-03T00:00:00Z,272,Against,2,2,2
2023-05-02T00:00:00Z,272,For,5,5,29
2023-05-01T00:00:00Z,272,Against,4,4,28
2023-04-30T00:00:00Z,272,For,4,4,25
2023-05-04T00:00:00Z,272,For,6,6,9
2023-05-04T00:00:00Z,272,Abstain,1,1,2
2023-05-02T00:00:00Z,272,Abstain,1,1,2
2023-04-30T00:00:00Z,272,Against,6,6,61
2023-05-04T00:00:00Z,272,Against,1,1,2
2023-05-03T00:00:00Z,272,Abstain,2,2,8
2023-05-01T00:00:00Z,272,For,7,7,93
2023-04-29T00:00:00Z,271,Against,1,1,25
2023-05-01T00:00:00Z,271,Abstain,1,1,2
2023-05-03T00:00:00Z,271,Against,5,5,23
2023-05-04T00:00:00Z,271,Against,7,7,10
2023-04-29T00:00:00Z,271,For,5,5,39
2023-05-02T00:00:00Z,271,Against,5,5,14
2023-05-03T00:00:00Z,271,For,5,5,5
2023-04-30T00:00:00Z,271,For,6,6,82
2023-04-30T00:00:00Z,271,Against,2,2,3
2023-05-02T00:00:00Z,271,For,2,2,5
2023-05-01T00:00:00Z,271,Against,9,9,98
2023-05-03T00:00:00Z,271,Abstain,1,1,7
2023-05-04T00:00:00Z,271,For,26,26,38
2023-05-01T00:00:00Z,271,For,5,5,10
2023-04-28T00:00:00Z,270,Against,4,4,5
2023-04-26T00:00:00Z,270,Against,4,4,57
2023-04-27T00:00:00Z,270,Against,3,3,28
2023-04-25T00:00:00Z,270,For,1,1,2
2023-04-27T00:00:00Z,270,For,1,1,0
2023-04-26T00:00:00Z,270,For,2,2,2
2023-04-29T00:00:00Z,270,Against,6,6,30
2023-04-28T00:00:00Z,270,For,1,1,2
2023-04-29T00:00:00Z,270,Abstain,2,2,7
2023-04-25T00:00:00Z,270,Against,2,2,3
2023-04-30T00:00:00Z,270,Against,4,4,7
2023-04-23T00:00:00Z,269,Against,6,6,78
2023-04-23T00:00:00Z,269,Abstain,3,3,57
2023-04-23T00:00:00Z,269,For,9,9,28
2023-04-21T00:00:00Z,269,For,4,4,21
2023-04-22T00:00:00Z,269,For,3,3,4
2023-04-20T00:00:00Z,269,For,4,4,40
2023-04-19T00:00:00Z,269,For,5,5,8
2023-04-20T00:00:00Z,268,Against,2,2,2
2023-04-19T00:00:00Z,268,For,5,5,22
2023-04-21T00:00:00Z,268,Against,3,3,3
2023-04-18T00:00:00Z,268,Against,7,7,99
2023-04-21T00:00:00Z,268,For,4,4,16
2023-04-22T00:00:00Z,268,For,2,2,5
2023-04-22T00:00:00Z,268,Against,1,1,1
2023-04-19T00:00:00Z,268,Against,3,3,7
2023-04-17T00:00:00Z,268,Against,1,1,3
2023-04-22T00:00:00Z,268,Abstain,1,1,7
2023-04-17T00:00:00Z,268,For,4,4,50
2023-04-18T00:00:00Z,268,For,6,6,65
2023-04-19T00:00:00Z,266,Against,4,4,7
2023-04-19T00:00:00Z,266,For,4,4,5
2023-04-19T00:00:00Z,266,Abstain,1,1,7
2023-04-20T00:00:00Z,266,Against,2,2,4
2023-04-16T00:00:00Z,266,For,1,1,2
2023-04-18T00:00:00Z,266,Abstain,3,3,9
2023-04-18T00:00:00Z,266,For,2,2,53
2023-04-15T00:00:00Z,266,Against,2,2,36
2023-04-15T00:00:00Z,266,For,2,2,4
2023-04-17T00:00:00Z,266,Against,4,4,31
2023-04-18T00:00:00Z,266,Against,6,6,45
2023-04-16T00:00:00Z,266,Against,3,3,24
2023-04-16T00:00:00Z,265,Against,6,6,23
2023-04-16T00:00:00Z,265,For,3,3,26
2023-04-13T00:00:00Z,265,For,3,3,41
2023-04-15T00:00:00Z,265,Against,5,5,43
2023-04-13T00:00:00Z,265,Against,4,4,5
2023-04-12T00:00:00Z,265,Against,3,3,53
2023-04-16T00:00:00Z,265,Abstain,1,1,7
2023-04-14T00:00:00Z,265,Against,3,3,20
2023-04-14T00:00:00Z,265,For,1,1,2
2023-04-07T00:00:00Z,264,Against,2,2,2
2023-04-08T00:00:00Z,264,Against,7,7,105
2023-04-09T00:00:00Z,264,Against,1,1,3
2023-04-09T00:00:00Z,263,For,8,8,31
2023-04-11T00:00:00Z,263,Abstain,1,1,1
2023-04-08T00:00:00Z,263,Against,6,6,47
2023-04-12T00:00:00Z,263,Against,1,1,2
2023-04-10T00:00:00Z,263,Abstain,1,1,0
2023-04-07T00:00:00Z,263,Against,1,1,18
2023-04-12T00:00:00Z,263,For,3,3,5
2023-04-11T00:00:00Z,263,For,7,7,19
2023-04-09T00:00:00Z,263,Against,2,2,2
2023-04-08T00:00:00Z,263,For,8,8,78
2023-04-10T00:00:00Z,263,Against,3,3,41
2023-04-10T00:00:00Z,263,For,7,7,23
2023-04-07T00:00:00Z,263,For,8,8,34
2023-04-04T00:00:00Z,262,For,5,5,43
2023-04-09T00:00:00Z,262,For,4,4,12
2023-04-08T00:00:00Z,262,For,2,2,5
2023-04-09T00:00:00Z,262,Abstain,2,2,8
2023-04-05T00:00:00Z,262,For,6,6,10
2023-04-06T00:00:00Z,262,For,2,2,26
2023-04-04T00:00:00Z,262,Against,1,1,12
2023-04-07T00:00:00Z,262,For,8,8,35
2023-04-05T00:00:00Z,262,Against,4,4,87
2023-04-07T00:00:00Z,262,Against,6,6,10
2023-04-09T00:00:00Z,262,Against,3,3,6
2023-04-08T00:00:00Z,262,Against,5,5,8
2023-04-06T00:00:00Z,262,Against,2,2,4
2023-04-06T00:00:00Z,261,For,1,1,1
2023-04-06T00:00:00Z,261,Against,3,3,27
2023-04-07T00:00:00Z,261,For,8,8,46
2023-04-05T00:00:00Z,261,For,4,4,22
2023-04-04T00:00:00Z,261,For,7,7,85
2023-04-05T00:00:00Z,261,Abstain,1,1,0
2023-04-04T00:00:00Z,261,Against,2,2,5
2023-04-05T00:00:00Z,261,Against,3,3,4
2023-04-09T00:00:00Z,261,Against,4,4,5
