WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
8/16/2021,1,For,3,3,2
8/23/2021,2,For,8,8,9
8/23/2021,1,For,3,3,5
8/30/2021,3,For,6,6,7
8/30/2021,2,For,1,1,3
9/6/2021,4,For,9,9,14
9/6/2021,3,For,3,3,7
9/13/2021,5,For,9,9,17
9/20/2021,7,For,5,5,9
9/20/2021,6,For,10,10,16
9/27/2021,9,For,9,9,13
9/27/2021,8,For,6,6,20
10/4/2021,10,For,2,2,7
10/4/2021,9,For,5,5,10
10/11/2021,11,For,12,12,20
10/11/2021,10,For,4,4,14
10/18/2021,13,For,11,11,20
10/18/2021,12,For,10,10,20
10/25/2021,14,For,12,12,24
11/1/2021,15,For,1,1,7
11/1/2021,14,For,1,1,1
11/8/2021,16,For,14,14,27
11/8/2021,16,Against,2,2,8
11/8/2021,15,For,10,10,22
11/15/2021,18,Against,1,1,6
11/15/2021,18,For,19,19,34
11/15/2021,18,Abstain,3,3,11
11/15/2021,17,For,19,19,46
11/22/2021,22,For,5,5,9
11/22/2021,22,Abstain,2,2,10
11/22/2021,22,Against,4,4,13
11/22/2021,21,For,10,10,19
11/22/2021,21,Against,5,5,17
11/22/2021,20,For,13,13,47
11/22/2021,19,For,7,7,24
11/29/2021,26,For,5,5,0
11/29/2021,25,For,4,4,13
11/29/2021,24,Against,4,4,14
11/29/2021,23,For,9,9,39
11/29/2021,22,Against,1,1,1
11/29/2021,22,For,8,8,21
11/29/2021,21,For,2,2,2
11/29/2021,21,Against,2,2,2
11/29/2021,21,Abstain,1,1,11
12/6/2021,27,For,12,12,34
12/6/2021,26,For,10,10,32
12/6/2021,25,For,4,4,15
12/6/2021,24,Against,3,3,14
12/6/2021,24,For,2,2,8
12/13/2021,28,For,10,10,35
12/13/2021,28,Against,1,1,2
12/27/2021,30,For,9,9,32
12/27/2021,30,Against,2,2,2
12/27/2021,29,For,19,19,56
1/3/2022,32,For,5,5,36
1/3/2022,31,For,6,6,33
1/10/2022,34,For,12,12,51
1/10/2022,33,Against,1,1,1
1/10/2022,33,For,24,24,75
1/17/2022,35,For,8,8,31
1/24/2022,36,For,8,8,45
1/24/2022,36,Against,1,1,1
1/24/2022,35,For,3,3,16
1/31/2022,37,For,10,10,19
1/31/2022,37,Against,1,1,14
2/7/2022,38,For,2,2,5
2/7/2022,37,For,7,7,31
2/14/2022,39,For,11,11,56
2/14/2022,38,For,16,16,67
2/28/2022,42,For,13,13,24
2/28/2022,41,For,11,11,42
2/28/2022,40,For,18,18,70
3/7/2022,43,For,11,11,38
3/7/2022,42,For,10,10,37
3/14/2022,44,Abstain,1,1,0
3/14/2022,44,For,4,4,23
3/14/2022,43,For,9,9,29
3/21/2022,46,For,10,10,55
3/21/2022,45,For,12,12,61
3/21/2022,44,Abstain,1,1,1
3/21/2022,44,For,13,13,55
3/21/2022,44,Against,1,1,1
3/28/2022,48,For,3,3,6
3/28/2022,47,Abstain,1,1,1
3/28/2022,47,For,4,4,9
3/28/2022,46,For,6,6,10
3/28/2022,46,Abstain,2,2,3
4/4/2022,52,For,1,1,6
4/4/2022,51,Abstain,1,1,1
4/4/2022,51,For,3,3,9
4/4/2022,50,Against,3,3,12
4/4/2022,49,Against,8,8,9
4/4/2022,49,Abstain,4,4,28
4/4/2022,49,For,6,6,33
4/4/2022,48,Against,1,1,5
4/4/2022,48,For,13,13,60
4/4/2022,47,For,11,11,32
4/4/2022,47,Abstain,1,1,1
4/11/2022,59,Abstain,1,1,1
4/11/2022,59,For,1,1,3
4/11/2022,59,Against,6,6,26
4/11/2022,58,For,5,5,15
4/11/2022,58,Abstain,1,1,1
4/11/2022,58,Against,1,1,11
4/11/2022,57,Abstain,3,3,13
4/11/2022,57,For,3,3,9
4/11/2022,56,For,10,10,37
4/11/2022,56,Against,1,1,1
4/11/2022,56,Abstain,2,2,2
4/11/2022,55,For,1,1,1
4/11/2022,55,Against,11,11,41
4/11/2022,55,Abstain,2,2,2
4/11/2022,54,For,12,12,41
4/11/2022,54,Abstain,3,3,4
4/11/2022,53,For,20,20,75
4/11/2022,53,Abstain,2,2,1
4/11/2022,52,Abstain,4,4,27
4/11/2022,52,For,13,13,36
4/11/2022,52,Against,3,3,9
4/11/2022,51,For,20,20,54
4/11/2022,51,Abstain,1,1,1
4/18/2022,64,For,2,2,2
4/18/2022,63,For,2,2,2
4/18/2022,62,For,20,20,71
4/18/2022,61,For,26,26,92
4/18/2022,60,Abstain,3,3,14
4/18/2022,60,For,12,12,51
4/18/2022,59,Against,3,3,36
4/18/2022,58,For,6,6,45
4/18/2022,57,Against,2,2,8
4/18/2022,57,For,5,5,39
4/18/2022,57,Abstain,3,3,3
4/18/2022,56,For,2,2,2
4/25/2022,70,For,15,15,41
4/25/2022,70,Against,1,1,1
4/25/2022,70,Abstain,1,1,1
4/25/2022,69,Abstain,2,2,2
4/25/2022,69,For,13,13,59
4/25/2022,68,Abstain,1,1,1
4/25/2022,68,For,16,16,67
4/25/2022,67,Against,1,1,1
4/25/2022,67,For,23,23,85
4/25/2022,65,For,17,17,73
4/25/2022,65,Against,2,2,2
4/25/2022,65,Abstain,1,1,1
4/25/2022,64,For,16,16,71
4/25/2022,64,Against,1,1,1
4/25/2022,63,Abstain,1,1,1
4/25/2022,63,Against,1,1,1
4/25/2022,63,For,13,13,66
5/2/2022,72,Against,2,2,8
5/2/2022,72,For,5,5,9
5/2/2022,72,Abstain,2,2,33
5/2/2022,71,For,10,10,51
5/9/2022,75,For,16,16,66
5/9/2022,75,Abstain,2,2,2
5/9/2022,74,Abstain,3,3,3
5/9/2022,74,For,3,3,3
5/9/2022,74,Against,12,12,58
5/9/2022,73,For,25,25,114
5/9/2022,72,Against,2,2,2
5/9/2022,72,For,7,7,22
5/9/2022,72,Abstain,2,2,28
5/9/2022,71,For,3,3,3
5/16/2022,83,For,7,7,9
5/16/2022,82,For,13,13,43
5/16/2022,81,Abstain,1,1,1
5/16/2022,81,For,3,3,51
5/16/2022,81,Against,11,11,48
5/16/2022,78,For,3,3,5
5/16/2022,78,Against,4,4,45
5/16/2022,78,Abstain,2,2,30
5/16/2022,77,For,15,15,91
5/16/2022,77,Abstain,1,1,1
5/16/2022,75,For,10,10,54
5/16/2022,75,Against,1,1,1
5/23/2022,85,For,12,12,59
5/23/2022,84,For,12,12,58
5/23/2022,84,Against,2,2,2
5/23/2022,83,For,19,19,118
5/23/2022,83,Abstain,1,1,2
5/23/2022,82,Against,5,5,22
5/23/2022,82,Abstain,1,1,1
5/23/2022,82,For,11,11,72
5/23/2022,81,Against,11,11,35
5/23/2022,81,For,3,3,3
5/30/2022,87,For,27,27,134
5/30/2022,86,Against,7,7,18
5/30/2022,86,Abstain,12,12,77
5/30/2022,86,For,2,2,2
5/30/2022,85,For,17,17,70
5/30/2022,85,Against,1,1,1
5/30/2022,84,Abstain,2,2,10
5/30/2022,84,For,11,11,33
6/6/2022,94,For,6,6,16
6/6/2022,93,Abstain,1,1,2
6/6/2022,93,For,9,9,25
6/6/2022,92,Against,1,1,1
6/6/2022,92,For,25,25,119
6/6/2022,91,For,25,25,121
6/6/2022,90,For,31,31,132
6/6/2022,90,Against,1,1,1
6/6/2022,90,Abstain,1,1,1
6/6/2022,89,Against,12,12,89
6/6/2022,89,Abstain,2,2,2
6/6/2022,89,For,9,9,39
6/13/2022,95,For,28,28,139
6/13/2022,94,For,8,8,36
6/13/2022,94,Against,5,5,33
6/13/2022,93,Against,4,4,52
6/13/2022,93,Abstain,1,1,1
6/13/2022,93,For,6,6,38
6/13/2022,92,For,2,2,7
6/13/2022,91,For,2,2,2
6/20/2022,99,Against,1,1,1
6/20/2022,99,For,9,9,12
6/20/2022,98,For,12,12,42
6/20/2022,98,Abstain,1,1,6
6/20/2022,97,For,10,10,80
6/20/2022,97,Abstain,1,1,6
6/20/2022,97,Against,3,3,4
6/27/2022,103,For,1,1,5
6/27/2022,102,For,4,4,6
6/27/2022,101,For,21,21,68
6/27/2022,101,Abstain,1,1,14
6/27/2022,101,Against,1,1,1
6/27/2022,100,Against,1,1,1
6/27/2022,100,For,17,17,43
6/27/2022,100,Abstain,1,1,1
6/27/2022,99,Against,1,1,1
6/27/2022,99,For,14,14,65
7/4/2022,107,For,1,1,1
7/4/2022,106,For,16,16,97
7/4/2022,105,For,27,27,104
7/4/2022,104,For,20,20,68
7/4/2022,104,Against,3,3,29
7/4/2022,103,For,29,29,109
7/4/2022,103,Against,1,1,1
7/4/2022,102,For,12,12,62
7/4/2022,102,Abstain,1,1,2
7/4/2022,102,Against,1,1,1
7/11/2022,114,For,4,4,5
7/11/2022,113,For,3,3,5
7/11/2022,112,For,16,16,64
7/11/2022,112,Abstain,1,1,1
7/11/2022,111,For,35,35,117
7/11/2022,111,Abstain,3,3,23
7/11/2022,111,Against,1,1,1
7/11/2022,110,For,36,36,138
7/11/2022,109,For,28,28,87
7/11/2022,109,Against,3,3,4
7/11/2022,108,Against,7,7,7
7/11/2022,108,For,27,27,136
7/11/2022,107,Abstain,7,7,25
7/11/2022,107,For,7,7,41
7/11/2022,107,Against,9,9,41
7/11/2022,106,Against,1,1,1
7/11/2022,106,For,3,3,5
7/18/2022,116,For,9,9,30
7/18/2022,114,For,29,29,132
7/18/2022,113,Abstain,1,1,1
7/18/2022,113,Against,1,1,1
7/18/2022,113,For,25,25,118
