PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
id39,Against,2,2,1
id39,For,35,35,22742403.53
id38,For,56,56,48940140.48
id38,Abstain,1,1,6151.896451
id37,For,76,76,49878690.57
id37,Against,3,3,6155.002475
id36,Against,2,2,1.184874
id36,For,171,171,42963439.97
id34,For,194,194,42447973.12
id34,Abstain,1,1,0
id33,Abstain,7,7,14.182511
id33,Against,11,11,2500223.233
id33,For,366,367,48344886.03
id32,For,2795,2795,41568985.34
id32,Against,22,22,10.805372
id32,Abstain,2,2,11
id31,For,1310,1311,55880027.76
id31,Against,360,360,28466755.23
id31,Abstain,15,15,450009.2307
id30,For,1204,1204,51006300.22
id30,Against,41,41,2700345.035
id30,Abstain,1,1,1
id29,For,1806,1806,55568689.94
id29,Against,12,12,36.733014
id29,Abstain,3,3,11.568217
id28,Against,28,28,4919245.082
id28,For,1439,1439,11549994.01
id28,Abstain,2,2,11
id25,For,5796,5797,72421473.78
id25,Against,32,32,120.518345
id25,Abstain,7,7,0.35
id24,Against,9,9,770.717416
id24,Abstain,2,2,200611.1192
id24,For,2450,2450,86298595.27
id23,Against,6,6,390.657368
id23,For,934,937,50634749.74
id23,Abstain,2,2,3.06519
id22,Against,10,10,1062.878498
id22,Abstain,3,3,2500000
id22,For,1234,1235,70398595.6
id20,Against,2,2,3078.180268
id20,For,659,661,46069208.6
id19,For,456,459,50690718.41
id19,Against,2,2,3078.180268
id18,For,694,694,2514086.93
id17,For,869,869,5029243.527
id17,Abstain,1,1,0
id17,Against,1,1,0
id16,Against,1,1,1470.702544
id16,For,859,861,59556015.2
id16,Abstain,1,1,206276.3784
id14,For,309,311,43772750.27
id13,Against,9,9,11887306.86
id13,For,1121,1121,50509984.14
id13,Abstain,1,1,2500000
id11,Against,16,16,1261.705799
id11,For,1949,1949,77413341.33
id10,For,71,71,72126216.2
id10,Against,4,4,503009.4094
id9,For,41,41,71369769.19
id5,For,53,53,14464955.37
id5,Against,2,2,5650.566
id4,For,147,147,90980769.69
id4,Against,2,2,2035.736343
id3,For,273,269,123550494.6
id3,Against,17,17,11733.90841
id2,Against,172,168,48269128.28
id2,For,289,287,85179612.1
id1,For,508,501,119277811
id1,Against,108,108,15737442.07
