DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2021-06-23T00:00:00Z,1,For,45,45,4893.144362
2020-10-15T00:00:00Z,1,Against,8,8,4121.543175
2020-10-13T00:00:00Z,1,Against,14,14,607549.2452
2020-10-15T00:00:00Z,1,For,31,31,16222.61969
2021-06-25T00:00:00Z,1,For,51,51,47002495
2021-06-29T00:00:00Z,1,Against,1,1,0.01
2020-10-13T00:00:00Z,1,For,64,64,14739693.13
2020-10-16T00:00:00Z,1,For,23,23,141678.9498
2021-06-28T00:00:00Z,1,For,10,10,6871.808151
2021-06-29T00:00:00Z,1,For,6,6,5.93476
2021-06-22T00:00:00Z,1,For,3,3,13459337.16
2021-06-22T00:00:00Z,1,Against,1,1,200
2020-10-16T00:00:00Z,1,Against,4,4,11647.64419
2020-10-18T00:00:00Z,1,For,24,24,10087.92676
2021-06-25T00:00:00Z,1,Against,6,6,5860853.82
2020-10-12T00:00:00Z,1,For,58,58,15621521.84
2021-06-24T00:00:00Z,1,Against,6,6,1204278.166
2021-06-24T00:00:00Z,1,For,32,32,12888519.31
2021-06-27T00:00:00Z,1,For,80,80,3804732.419
2020-10-12T00:00:00Z,1,Against,6,6,17924.5658
2021-06-28T00:00:00Z,1,Against,3,3,2500173.318
2020-10-17T00:00:00Z,1,For,20,20,8929320.435
2021-06-26T00:00:00Z,1,For,9,9,2514196.884
2020-10-18T00:00:00Z,1,Against,7,7,13348.54716
2020-10-14T00:00:00Z,1,For,52,52,138234.4107
2021-06-27T00:00:00Z,1,Against,33,33,108.9
2020-10-14T00:00:00Z,1,Against,7,7,2678.73157
2021-06-26T00:00:00Z,1,Against,4,4,7255.062645
2021-06-23T00:00:00Z,1,Against,6,6,5467715.924
2020-10-17T00:00:00Z,1,Against,2,2,39586.59463
2020-10-30T00:00:00Z,2,For,47,47,16727654.47
2020-10-25T00:00:00Z,2,Against,28,28,103307.1254
2020-10-26T00:00:00Z,2,Against,18,18,25637.23769
2020-10-26T00:00:00Z,2,For,27,27,1012735.875
2021-08-16T00:00:00Z,2,For,6,6,11000556.55
2020-10-27T00:00:00Z,2,Against,15,15,17825.73478
2020-10-29T00:00:00Z,2,For,14,14,111374.4451
2020-10-29T00:00:00Z,2,Against,7,7,557972.1837
2021-08-17T00:00:00Z,2,For,8,8,11014234.13
2020-10-30T00:00:00Z,2,Against,25,25,15163.04326
2021-08-15T00:00:00Z,2,For,11,11,206506.001
2020-10-25T00:00:00Z,2,For,58,58,25598.54963
2020-10-24T00:00:00Z,2,For,21,21,15725950.21
