WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2021-06-28T00:00:00Z,1,For,16,16,6877.742911
2021-06-21T00:00:00Z,1,Against,56,56,12540411.87
2020-10-12T00:00:00Z,1,For,272,272,39596759.31
2020-10-12T00:00:00Z,1,Against,48,48,696856.8717
2021-06-21T00:00:00Z,1,For,220,220,79674173.91
2021-06-28T00:00:00Z,1,Against,4,4,2500173.328
2020-10-26T00:00:00Z,2,Against,72,72,625063.1923
2021-08-16T00:00:00Z,2,For,47,47,47415197.1
2020-10-26T00:00:00Z,2,For,145,145,21803519.47
2021-08-09T00:00:00Z,2,For,18,18,209346.777
2020-10-19T00:00:00Z,2,Against,44,44,655568.5653
2020-10-19T00:00:00Z,2,For,79,79,15751548.75
2021-08-16T00:00:00Z,2,Against,56,56,46988496.52
2020-12-14T00:00:00Z,3,For,121,121,28781318.98
2020-12-21T00:00:00Z,3,For,55,55,31307493.61
2021-08-23T00:00:00Z,3,For,31,31,32532732.93
2021-08-16T00:00:00Z,3,For,66,66,30928949.06
2020-12-21T00:00:00Z,3,Against,3,3,393.861497
2021-08-16T00:00:00Z,3,Against,4,4,2433.523277
2020-12-14T00:00:00Z,3,Against,10,10,8906.523632
2021-05-31T00:00:00Z,4,For,113,113,71871244.98
2021-06-07T00:00:00Z,4,For,33,33,19109524.62
2021-05-31T00:00:00Z,4,Against,2,2,2035.736343
2022-03-14T00:00:00Z,4,For,1,1,0.089595
2021-06-07T00:00:00Z,5,For,44,44,14464555.37
2021-06-14T00:00:00Z,5,For,9,9,400
2021-06-07T00:00:00Z,5,Against,2,2,5650.566
2021-11-08T00:00:00Z,9,For,18,18,39431267.96
2021-11-01T00:00:00Z,9,For,23,23,31938501.23
2021-12-13T00:00:00Z,10,Against,1,1,300.866127
2021-12-13T00:00:00Z,10,For,37,37,42134518.3
2021-12-06T00:00:00Z,10,For,34,34,29991697.91
2021-12-06T00:00:00Z,10,Against,3,3,502708.5433
2022-03-07T00:00:00Z,11,For,76,76,37561539.86
2022-02-28T00:00:00Z,11,For,1873,1873,39851801.47
2022-02-28T00:00:00Z,11,Against,15,15,6.42067
2022-03-07T00:00:00Z,11,Against,1,1,1255.285129
2022-03-21T00:00:00Z,13,For,1121,1121,50509984.14
2022-03-21T00:00:00Z,13,Against,9,9,11887306.86
2022-03-21T00:00:00Z,13,Abstain,1,1,2500000
2022-03-28T00:00:00Z,14,For,3,3,3500482.609
2022-04-04T00:00:00Z,14,For,306,308,40272267.66
2022-04-18T00:00:00Z,16,For,778,779,14817914.04
2022-04-25T00:00:00Z,16,For,81,82,44738101.16
2022-04-18T00:00:00Z,16,Abstain,1,1,206276.3784
2022-04-18T00:00:00Z,16,Against,1,1,1470.702544
2022-05-02T00:00:00Z,17,For,628,628,25999.09996
2022-05-09T00:00:00Z,17,Against,1,1,0
2022-05-09T00:00:00Z,17,For,241,241,5003244.427
2022-05-09T00:00:00Z,17,Abstain,1,1,0
2022-05-02T00:00:00Z,18,For,545,545,12594.34541
2022-05-09T00:00:00Z,18,For,149,149,2501492.585
2022-05-16T00:00:00Z,19,Against,2,2,3078.180268
2022-05-09T00:00:00Z,19,For,302,302,11232192.35
2022-05-16T00:00:00Z,19,For,154,157,39458526.05
2022-05-16T00:00:00Z,20,For,295,297,37345588.43
2022-05-09T00:00:00Z,20,For,364,364,8723620.169
2022-05-16T00:00:00Z,20,Against,2,2,3078.180268
2022-06-13T00:00:00Z,22,Abstain,1,1,0
2022-06-13T00:00:00Z,22,For,768,768,5027404.578
2022-06-20T00:00:00Z,22,Against,6,6,1061.878498
2022-06-20T00:00:00Z,22,Abstain,2,2,2500000
2022-06-13T00:00:00Z,22,Against,4,4,1
2022-06-20T00:00:00Z,22,For,466,467,65371191.02
2022-07-04T00:00:00Z,23,For,78,78,7337373.037
2022-07-11T00:00:00Z,23,For,856,859,43297376.7
2022-07-11T00:00:00Z,23,Against,6,6,390.657368
2022-07-11T00:00:00Z,23,Abstain,2,2,3.06519
2022-08-22T00:00:00Z,24,For,567,567,4685143.555
2022-08-15T00:00:00Z,24,Against,8,8,769.717416
2022-08-15T00:00:00Z,24,Abstain,2,2,200611.1192
2022-08-22T00:00:00Z,24,Against,1,1,1
2022-08-15T00:00:00Z,24,For,1883,1883,81613451.72
2022-10-10T00:00:00Z,25,Abstain,7,7,0.35
2022-10-03T00:00:00Z,25,For,1263,1263,3567192.704
2022-10-10T00:00:00Z,25,For,4533,4534,68854281.08
2022-10-10T00:00:00Z,25,Against,28,28,107.245906
2022-10-03T00:00:00Z,25,Against,4,4,13.272439
2022-12-19T00:00:00Z,28,Abstain,1,1,10
2022-12-12T00:00:00Z,28,Against,16,16,72.95514
2022-12-19T00:00:00Z,28,Against,12,12,4919172.127
2022-12-12T00:00:00Z,28,Abstain,1,1,1
2022-12-19T00:00:00Z,28,For,627,627,5003482.14
2022-12-12T00:00:00Z,28,For,812,812,6546511.87
2022-12-12T00:00:00Z,29,For,46,46,3000230.382
2022-12-19T00:00:00Z,29,Abstain,3,3,11.568217
2022-12-19T00:00:00Z,29,Against,10,10,25.889041
2022-12-12T00:00:00Z,29,Against,2,2,10.843973
2022-12-19T00:00:00Z,29,For,1760,1760,52568459.56
2023-01-30T00:00:00Z,30,Abstain,1,1,1
2023-01-23T00:00:00Z,30,For,402,402,12303760.4
2023-01-30T00:00:00Z,30,Against,37,37,200272.9113
2023-01-30T00:00:00Z,30,For,802,802,38702539.82
